"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02276V02746","Domestic","C02599V03153","Reason for Journey","UNIT","VALUE"
"HTQ01C1","Number of Trips by Irish Residents","2019Q1","2019Q1","02","Outbound","01","Holiday","Thousand","920"
"HTQ01C1","Number of Trips by Irish Residents","2019Q1","2019Q1","02","Outbound","02","Business","Thousand","239"
"HTQ01C1","Number of Trips by Irish Residents","2019Q1","2019Q1","02","Outbound","03","Visiting friends/relatives","Thousand","453"
"HTQ01C1","Number of Trips by Irish Residents","2019Q1","2019Q1","02","Outbound","08","Other reasons","Thousand","199"
"HTQ01C1","Number of Trips by Irish Residents","2019Q2","2019Q2","01","Domestic","-","All reasons for journey","Thousand","2858"
"HTQ01C1","Number of Trips by Irish Residents","2019Q2","2019Q2","01","Domestic","01","Holiday","Thousand","1463"
"HTQ01C1","Number of Trips by Irish Residents","2019Q2","2019Q2","01","Domestic","02","Business","Thousand","146"
"HTQ01C1","Number of Trips by Irish Residents","2019Q2","2019Q2","01","Domestic","03","Visiting friends/relatives","Thousand","881"
"HTQ01C1","Number of Trips by Irish Residents","2019Q2","2019Q2","01","Domestic","08","Other reasons","Thousand","369"
"HTQ01C1","Number of Trips by Irish Residents","2019Q2","2019Q2","02","Outbound","-","All reasons for journey","Thousand","2555"
"HTQ01C1","Number of Trips by Irish Residents","2019Q2","2019Q2","02","Outbound","01","Holiday","Thousand","1553"
"HTQ01C1","Number of Trips by Irish Residents","2019Q2","2019Q2","02","Outbound","02","Business","Thousand","225"
"HTQ01C1","Number of Trips by Irish Residents","2019Q2","2019Q2","02","Outbound","03","Visiting friends/relatives","Thousand","490"
"HTQ01C1","Number of Trips by Irish Residents","2019Q2","2019Q2","02","Outbound","08","Other reasons","Thousand","287"
"HTQ01C1","Number of Trips by Irish Residents","2019Q3","2019Q3","01","Domestic","-","All reasons for journey","Thousand","3898"
"HTQ01C1","Number of Trips by Irish Residents","2019Q3","2019Q3","01","Domestic","01","Holiday","Thousand","2220"
"HTQ01C1","Number of Trips by Irish Residents","2019Q3","2019Q3","01","Domestic","02","Business","Thousand","100"
"HTQ01C1","Number of Trips by Irish Residents","2019Q3","2019Q3","01","Domestic","03","Visiting friends/relatives","Thousand","1095"
"HTQ01C1","Number of Trips by Irish Residents","2019Q3","2019Q3","01","Domestic","08","Other reasons","Thousand","483"
"HTQ01C1","Number of Trips by Irish Residents","2019Q3","2019Q3","02","Outbound","-","All reasons for journey","Thousand","2905"
"HTQ01C1","Number of Trips by Irish Residents","2019Q3","2019Q3","02","Outbound","01","Holiday","Thousand","2033"
"HTQ01C1","Number of Trips by Irish Residents","2019Q3","2019Q3","02","Outbound","02","Business","Thousand","164"
"HTQ01C1","Number of Trips by Irish Residents","2019Q3","2019Q3","02","Outbound","03","Visiting friends/relatives","Thousand","481"
"HTQ01C1","Number of Trips by Irish Residents","2019Q3","2019Q3","02","Outbound","08","Other reasons","Thousand","227"
"HTQ01C1","Number of Trips by Irish Residents","2019Q4","2019Q4","01","Domestic","-","All reasons for journey","Thousand","2641"
"HTQ01C1","Number of Trips by Irish Residents","2019Q4","2019Q4","01","Domestic","01","Holiday","Thousand","1180"
"HTQ01C1","Number of Trips by Irish Residents","2019Q4","2019Q4","01","Domestic","02","Business","Thousand","184"
"HTQ01C1","Number of Trips by Irish Residents","2019Q4","2019Q4","01","Domestic","03","Visiting friends/relatives","Thousand","1006"
"HTQ01C1","Number of Trips by Irish Residents","2019Q4","2019Q4","01","Domestic","08","Other reasons","Thousand","271"
"HTQ01C1","Number of Trips by Irish Residents","2019Q4","2019Q4","02","Outbound","-","All reasons for journey","Thousand","2079"
"HTQ01C1","Number of Trips by Irish Residents","2019Q4","2019Q4","02","Outbound","01","Holiday","Thousand","1060"
"HTQ01C1","Number of Trips by Irish Residents","2019Q4","2019Q4","02","Outbound","02","Business","Thousand","264"
"HTQ01C1","Number of Trips by Irish Residents","2019Q4","2019Q4","02","Outbound","03","Visiting friends/relatives","Thousand","512"
"HTQ01C1","Number of Trips by Irish Residents","2019Q4","2019Q4","02","Outbound","08","Other reasons","Thousand","244"
"HTQ01C1","Number of Trips by Irish Residents","2020Q1","2020Q1","01","Domestic","-","All reasons for journey","Thousand","2160"
"HTQ01C1","Number of Trips by Irish Residents","2020Q1","2020Q1","01","Domestic","01","Holiday","Thousand","941"
"HTQ01C1","Number of Trips by Irish Residents","2020Q1","2020Q1","01","Domestic","02","Business","Thousand","136"
"HTQ01C1","Number of Trips by Irish Residents","2020Q1","2020Q1","01","Domestic","03","Visiting friends/relatives","Thousand","810"
"HTQ01C1","Number of Trips by Irish Residents","2020Q1","2020Q1","01","Domestic","08","Other reasons","Thousand","273"
"HTQ01C1","Number of Trips by Irish Residents","2020Q1","2020Q1","02","Outbound","-","All reasons for journey","Thousand","1575"
"HTQ01C1","Number of Trips by Irish Residents","2020Q1","2020Q1","02","Outbound","01","Holiday","Thousand","812"
"HTQ01C1","Number of Trips by Irish Residents","2020Q1","2020Q1","02","Outbound","02","Business","Thousand","191"
"HTQ01C1","Number of Trips by Irish Residents","2020Q1","2020Q1","02","Outbound","03","Visiting friends/relatives","Thousand","413"
"HTQ01C1","Number of Trips by Irish Residents","2020Q1","2020Q1","02","Outbound","08","Other reasons","Thousand","159"
"HTQ01C1","Number of Trips by Irish Residents","2020Q2","2020Q2","01","Domestic","-","All reasons for journey","Thousand","237"
"HTQ01C1","Number of Trips by Irish Residents","2020Q2","2020Q2","01","Domestic","01","Holiday","Thousand",""
"HTQ01C1","Number of Trips by Irish Residents","2020Q2","2020Q2","01","Domestic","02","Business","Thousand",""
"HTQ01C1","Number of Trips by Irish Residents","2020Q2","2020Q2","01","Domestic","03","Visiting friends/relatives","Thousand",""
"HTQ01C1","Number of Trips by Irish Residents","2020Q2","2020Q2","01","Domestic","08","Other reasons","Thousand",""
"HTQ01C1","Number of Trips by Irish Residents","2020Q2","2020Q2","02","Outbound","-","All reasons for journey","Thousand","60"
"HTQ01C1","Number of Trips by Irish Residents","2020Q2","2020Q2","02","Outbound","01","Holiday","Thousand",""
"HTQ01C1","Number of Trips by Irish Residents","2020Q2","2020Q2","02","Outbound","02","Business","Thousand",""
"HTQ01C1","Number of Trips by Irish Residents","2020Q2","2020Q2","02","Outbound","03","Visiting friends/relatives","Thousand",""
"HTQ01C1","Number of Trips by Irish Residents","2020Q2","2020Q2","02","Outbound","08","Other reasons","Thousand",""
"HTQ01C1","Number of Trips by Irish Residents","2020Q3","2020Q3","01","Domestic","-","All reasons for journey","Thousand","4188"
"HTQ01C1","Number of Trips by Irish Residents","2020Q3","2020Q3","01","Domestic","01","Holiday","Thousand","2926"
"HTQ01C1","Number of Trips by Irish Residents","2020Q3","2020Q3","01","Domestic","02","Business","Thousand","44"
"HTQ01C1","Number of Trips by Irish Residents","2020Q3","2020Q3","01","Domestic","03","Visiting friends/relatives","Thousand","1120"
"HTQ01C1","Number of Trips by Irish Residents","2020Q3","2020Q3","01","Domestic","08","Other reasons","Thousand","99"
"HTQ01C1","Number of Trips by Irish Residents","2020Q3","2020Q3","02","Outbound","-","All reasons for journey","Thousand","530"
"HTQ01C1","Number of Trips by Irish Residents","2020Q3","2020Q3","02","Outbound","01","Holiday","Thousand",""
"HTQ01C1","Number of Trips by Irish Residents","2020Q3","2020Q3","02","Outbound","02","Business","Thousand",""
"HTQ01C1","Number of Trips by Irish Residents","2020Q3","2020Q3","02","Outbound","03","Visiting friends/relatives","Thousand",""
"HTQ01C1","Number of Trips by Irish Residents","2020Q3","2020Q3","02","Outbound","08","Other reasons","Thousand",""
"HTQ01C1","Number of Trips by Irish Residents","2020Q4","2020Q4","01","Domestic","-","All reasons for journey","Thousand","1136"
"HTQ01C1","Number of Trips by Irish Residents","2020Q4","2020Q4","01","Domestic","01","Holiday","Thousand","286"
"HTQ01C1","Number of Trips by Irish Residents","2020Q4","2020Q4","01","Domestic","02","Business","Thousand","40"
"HTQ01C1","Number of Trips by Irish Residents","2020Q4","2020Q4","01","Domestic","03","Visiting friends/relatives","Thousand","557"
"HTQ01C1","Number of Trips by Irish Residents","2020Q4","2020Q4","01","Domestic","08","Other reasons","Thousand","253"
"HTQ01C1","Number of Trips by Irish Residents","2020Q4","2020Q4","02","Outbound","-","All reasons for journey","Thousand","200"
"HTQ01C1","Number of Trips by Irish Residents","2020Q4","2020Q4","02","Outbound","01","Holiday","Thousand",""
"HTQ01C1","Number of Trips by Irish Residents","2020Q4","2020Q4","02","Outbound","02","Business","Thousand",""
"HTQ01C1","Number of Trips by Irish Residents","2020Q4","2020Q4","02","Outbound","03","Visiting friends/relatives","Thousand",""
"HTQ01C1","Number of Trips by Irish Residents","2020Q4","2020Q4","02","Outbound","08","Other reasons","Thousand",""
"HTQ01C1","Number of Trips by Irish Residents","2021Q1","2021Q1","01","Domestic","-","All reasons for journey","Thousand","278"
"HTQ01C1","Number of Trips by Irish Residents","2021Q1","2021Q1","01","Domestic","01","Holiday","Thousand","4"
"HTQ01C1","Number of Trips by Irish Residents","2021Q1","2021Q1","01","Domestic","02","Business","Thousand","23"
"HTQ01C1","Number of Trips by Irish Residents","2021Q1","2021Q1","01","Domestic","03","Visiting friends/relatives","Thousand","151"
"HTQ01C1","Number of Trips by Irish Residents","2021Q1","2021Q1","01","Domestic","08","Other reasons","Thousand","100"
"HTQ01C1","Number of Trips by Irish Residents","2021Q1","2021Q1","02","Outbound","-","All reasons for journey","Thousand","108"
"HTQ01C1","Number of Trips by Irish Residents","2021Q1","2021Q1","02","Outbound","01","Holiday","Thousand","6"
"HTQ01C1","Number of Trips by Irish Residents","2021Q1","2021Q1","02","Outbound","02","Business","Thousand","10"
"HTQ01C1","Number of Trips by Irish Residents","2021Q1","2021Q1","02","Outbound","03","Visiting friends/relatives","Thousand","23"
"HTQ01C1","Number of Trips by Irish Residents","2021Q1","2021Q1","02","Outbound","08","Other reasons","Thousand","69"
"HTQ01C1","Number of Trips by Irish Residents","2021Q2","2021Q2","01","Domestic","-","All reasons for journey","Thousand","990"
"HTQ01C1","Number of Trips by Irish Residents","2021Q2","2021Q2","01","Domestic","01","Holiday","Thousand","488"
"HTQ01C1","Number of Trips by Irish Residents","2021Q2","2021Q2","01","Domestic","02","Business","Thousand","27"
"HTQ01C1","Number of Trips by Irish Residents","2021Q2","2021Q2","01","Domestic","03","Visiting friends/relatives","Thousand","390"
"HTQ01C1","Number of Trips by Irish Residents","2021Q2","2021Q2","01","Domestic","08","Other reasons","Thousand","85"
"HTQ01C1","Number of Trips by Irish Residents","2021Q2","2021Q2","02","Outbound","-","All reasons for journey","Thousand","168"
"HTQ01C1","Number of Trips by Irish Residents","2021Q2","2021Q2","02","Outbound","01","Holiday","Thousand","47"
"HTQ01C1","Number of Trips by Irish Residents","2021Q2","2021Q2","02","Outbound","02","Business","Thousand","16"
"HTQ01C1","Number of Trips by Irish Residents","2021Q2","2021Q2","02","Outbound","03","Visiting friends/relatives","Thousand","36"
"HTQ01C1","Number of Trips by Irish Residents","2021Q2","2021Q2","02","Outbound","08","Other reasons","Thousand","69"
"HTQ01C1","Number of Trips by Irish Residents","2021Q3","2021Q3","01","Domestic","-","All reasons for journey","Thousand","2808"
"HTQ01C1","Number of Trips by Irish Residents","2021Q3","2021Q3","01","Domestic","01","Holiday","Thousand","1982"
"HTQ01C1","Number of Trips by Irish Residents","2021Q3","2021Q3","01","Domestic","02","Business","Thousand","32"
"HTQ01C1","Number of Trips by Irish Residents","2021Q3","2021Q3","01","Domestic","03","Visiting friends/relatives","Thousand","669"
"HTQ01C1","Number of Trips by Irish Residents","2021Q3","2021Q3","01","Domestic","08","Other reasons","Thousand","125"
"HTQ01C1","Number of Trips by Irish Residents","2021Q3","2021Q3","02","Outbound","-","All reasons for journey","Thousand","907"
"HTQ01C1","Number of Trips by Irish Residents","2021Q3","2021Q3","02","Outbound","01","Holiday","Thousand","523"
"HTQ01C1","Number of Trips by Irish Residents","2021Q3","2021Q3","02","Outbound","02","Business","Thousand","39"
"HTQ01C1","Number of Trips by Irish Residents","2021Q3","2021Q3","02","Outbound","03","Visiting friends/relatives","Thousand","284"
"HTQ01C1","Number of Trips by Irish Residents","2021Q3","2021Q3","02","Outbound","08","Other reasons","Thousand","62"
"HTQ01C1","Number of Trips by Irish Residents","2021Q4","2021Q4","01","Domestic","-","All reasons for journey","Thousand","1587"
"HTQ01C1","Number of Trips by Irish Residents","2021Q4","2021Q4","01","Domestic","01","Holiday","Thousand","690"
"HTQ01C1","Number of Trips by Irish Residents","2021Q4","2021Q4","01","Domestic","02","Business","Thousand","83"
"HTQ01C1","Number of Trips by Irish Residents","2021Q4","2021Q4","01","Domestic","03","Visiting friends/relatives","Thousand","670"
"HTQ01C1","Number of Trips by Irish Residents","2021Q4","2021Q4","01","Domestic","08","Other reasons","Thousand","143"
"HTQ01C1","Number of Trips by Irish Residents","2021Q4","2021Q4","02","Outbound","-","All reasons for journey","Thousand","1094"
"HTQ01C1","Number of Trips by Irish Residents","2021Q4","2021Q4","02","Outbound","01","Holiday","Thousand","504"
"HTQ01C1","Number of Trips by Irish Residents","2021Q4","2021Q4","02","Outbound","02","Business","Thousand","107"
"HTQ01C1","Number of Trips by Irish Residents","2021Q4","2021Q4","02","Outbound","03","Visiting friends/relatives","Thousand","400"
"HTQ01C1","Number of Trips by Irish Residents","2021Q4","2021Q4","02","Outbound","08","Other reasons","Thousand","83"
"HTQ01C1","Number of Trips by Irish Residents","2022Q1","2022Q1","01","Domestic","-","All reasons for journey","Thousand","2308"
"HTQ01C1","Number of Trips by Irish Residents","2022Q1","2022Q1","01","Domestic","01","Holiday","Thousand","1091"
"HTQ01C1","Number of Trips by Irish Residents","2022Q1","2022Q1","01","Domestic","02","Business","Thousand","78"
"HTQ01C1","Number of Trips by Irish Residents","2022Q1","2022Q1","01","Domestic","03","Visiting friends/relatives","Thousand","874"
"HTQ01C1","Number of Trips by Irish Residents","2022Q1","2022Q1","01","Domestic","08","Other reasons","Thousand","265"
"HTQ01C1","Number of Trips by Irish Residents","2022Q1","2022Q1","02","Outbound","-","All reasons for journey","Thousand","1063"
"HTQ01C1","Number of Trips by Irish Residents","2022Q1","2022Q1","02","Outbound","01","Holiday","Thousand","559"
"HTQ01C1","Number of Trips by Irish Residents","2022Q1","2022Q1","02","Outbound","02","Business","Thousand","70"
"HTQ01C1","Number of Trips by Irish Residents","2022Q1","2022Q1","02","Outbound","03","Visiting friends/relatives","Thousand","345"
"HTQ01C1","Number of Trips by Irish Residents","2022Q1","2022Q1","02","Outbound","08","Other reasons","Thousand","89"
"HTQ01C1","Number of Trips by Irish Residents","2022Q2","2022Q2","01","Domestic","-","All reasons for journey","Thousand","3397"
"HTQ01C1","Number of Trips by Irish Residents","2022Q2","2022Q2","01","Domestic","01","Holiday","Thousand","1817"
"HTQ01C1","Number of Trips by Irish Residents","2022Q2","2022Q2","01","Domestic","02","Business","Thousand","193"
"HTQ01C1","Number of Trips by Irish Residents","2022Q2","2022Q2","01","Domestic","03","Visiting friends/relatives","Thousand","1040"
"HTQ01C1","Number of Trips by Irish Residents","2022Q2","2022Q2","01","Domestic","08","Other reasons","Thousand","347"
"HTQ01C1","Number of Trips by Irish Residents","2022Q2","2022Q2","02","Outbound","-","All reasons for journey","Thousand","2175"
"HTQ01C1","Number of Trips by Irish Residents","2022Q2","2022Q2","02","Outbound","01","Holiday","Thousand","1252"
"HTQ01C1","Number of Trips by Irish Residents","2022Q2","2022Q2","02","Outbound","02","Business","Thousand","106"
"HTQ01C1","Number of Trips by Irish Residents","2022Q2","2022Q2","02","Outbound","03","Visiting friends/relatives","Thousand","586"
"HTQ01C1","Number of Trips by Irish Residents","2022Q2","2022Q2","02","Outbound","08","Other reasons","Thousand","232"
"HTQ01C1","Number of Trips by Irish Residents","2022Q3","2022Q3","01","Domestic","-","All reasons for journey","Thousand","4506"
"HTQ01C1","Number of Trips by Irish Residents","2022Q3","2022Q3","01","Domestic","01","Holiday","Thousand","2623"
"HTQ01C1","Number of Trips by Irish Residents","2022Q3","2022Q3","01","Domestic","02","Business","Thousand","125"
"HTQ01C1","Number of Trips by Irish Residents","2022Q3","2022Q3","01","Domestic","03","Visiting friends/relatives","Thousand","1295"
"HTQ01C1","Number of Trips by Irish Residents","2022Q3","2022Q3","01","Domestic","08","Other reasons","Thousand","464"
"HTQ01C1","Number of Trips by Irish Residents","2022Q3","2022Q3","02","Outbound","-","All reasons for journey","Thousand","3020"
"HTQ01C1","Number of Trips by Irish Residents","2022Q3","2022Q3","02","Outbound","01","Holiday","Thousand","2319"
"HTQ01C1","Number of Trips by Irish Residents","2022Q3","2022Q3","02","Outbound","02","Business","Thousand","112"
"HTQ01C1","Number of Trips by Irish Residents","2022Q3","2022Q3","02","Outbound","03","Visiting friends/relatives","Thousand","505"
"HTQ01C1","Number of Trips by Irish Residents","2022Q3","2022Q3","02","Outbound","08","Other reasons","Thousand","85"
"HTQ01C1","Number of Trips by Irish Residents","2022Q4","2022Q4","01","Domestic","-","All reasons for journey","Thousand","3064"
"HTQ01C1","Number of Trips by Irish Residents","2022Q4","2022Q4","01","Domestic","01","Holiday","Thousand","1089"
"HTQ01C1","Number of Trips by Irish Residents","2022Q4","2022Q4","01","Domestic","02","Business","Thousand","133"
"HTQ01C1","Number of Trips by Irish Residents","2022Q4","2022Q4","01","Domestic","03","Visiting friends/relatives","Thousand","1350"
"HTQ01C1","Number of Trips by Irish Residents","2022Q4","2022Q4","01","Domestic","08","Other reasons","Thousand","491"
"HTQ01C1","Number of Trips by Irish Residents","2022Q4","2022Q4","02","Outbound","-","All reasons for journey","Thousand","2287"
"HTQ01C1","Number of Trips by Irish Residents","2022Q4","2022Q4","02","Outbound","01","Holiday","Thousand","1255"
"HTQ01C1","Number of Trips by Irish Residents","2022Q4","2022Q4","02","Outbound","02","Business","Thousand","214"
"HTQ01C1","Number of Trips by Irish Residents","2022Q4","2022Q4","02","Outbound","03","Visiting friends/relatives","Thousand","647"
"HTQ01C1","Number of Trips by Irish Residents","2022Q4","2022Q4","02","Outbound","08","Other reasons","Thousand","171"
"HTQ01C1","Number of Trips by Irish Residents","2023Q1","2023Q1","01","Domestic","-","All reasons for journey","Thousand","2571"
"HTQ01C1","Number of Trips by Irish Residents","2023Q1","2023Q1","01","Domestic","01","Holiday","Thousand","1028"
"HTQ01C1","Number of Trips by Irish Residents","2023Q1","2023Q1","01","Domestic","02","Business","Thousand","176"
"HTQ01C1","Number of Trips by Irish Residents","2023Q1","2023Q1","01","Domestic","03","Visiting friends/relatives","Thousand","1056"
"HTQ01C1","Number of Trips by Irish Residents","2023Q1","2023Q1","01","Domestic","08","Other reasons","Thousand","310"
"HTQ01C1","Number of Trips by Irish Residents","2023Q1","2023Q1","02","Outbound","-","All reasons for journey","Thousand","2082"
"HTQ01C1","Number of Trips by Irish Residents","2023Q1","2023Q1","02","Outbound","01","Holiday","Thousand","1077"
"HTQ01C1","Number of Trips by Irish Residents","2023Q1","2023Q1","02","Outbound","02","Business","Thousand","177"
"HTQ01C1","Number of Trips by Irish Residents","2023Q1","2023Q1","02","Outbound","03","Visiting friends/relatives","Thousand","679"
"HTQ01C1","Number of Trips by Irish Residents","2023Q1","2023Q1","02","Outbound","08","Other reasons","Thousand","149"
"HTQ01C1","Number of Trips by Irish Residents","2023Q2","2023Q2","01","Domestic","-","All reasons for journey","Thousand","3826"
"HTQ01C1","Number of Trips by Irish Residents","2023Q2","2023Q2","01","Domestic","01","Holiday","Thousand","1682"
"HTQ01C1","Number of Trips by Irish Residents","2023Q2","2023Q2","01","Domestic","02","Business","Thousand","148"
"HTQ01C1","Number of Trips by Irish Residents","2023Q2","2023Q2","01","Domestic","03","Visiting friends/relatives","Thousand","1426"
"HTQ01C1","Number of Trips by Irish Residents","2023Q2","2023Q2","01","Domestic","08","Other reasons","Thousand","570"
"HTQ01C1","Number of Trips by Irish Residents","2023Q2","2023Q2","02","Outbound","-","All reasons for journey","Thousand","3699"
"HTQ01C1","Number of Trips by Irish Residents","2023Q2","2023Q2","02","Outbound","01","Holiday","Thousand","2015"
"HTQ01C1","Number of Trips by Irish Residents","2023Q2","2023Q2","02","Outbound","02","Business","Thousand","343"
"HTQ01C1","Number of Trips by Irish Residents","2023Q2","2023Q2","02","Outbound","03","Visiting friends/relatives","Thousand","1053"
"HTQ01C1","Number of Trips by Irish Residents","2023Q2","2023Q2","02","Outbound","08","Other reasons","Thousand","288"
"HTQ01C1","Number of Trips by Irish Residents","2023Q3","2023Q3","01","Domestic","-","All reasons for journey","Thousand","4518"
"HTQ01C1","Number of Trips by Irish Residents","2023Q3","2023Q3","01","Domestic","01","Holiday","Thousand","2350"
"HTQ01C1","Number of Trips by Irish Residents","2023Q3","2023Q3","01","Domestic","02","Business","Thousand","162"
"HTQ01C1","Number of Trips by Irish Residents","2023Q3","2023Q3","01","Domestic","03","Visiting friends/relatives","Thousand","1744"
"HTQ01C1","Number of Trips by Irish Residents","2023Q3","2023Q3","01","Domestic","08","Other reasons","Thousand","263"
"HTQ01C1","Number of Trips by Irish Residents","2023Q3","2023Q3","02","Outbound","-","All reasons for journey","Thousand","3950"
"HTQ01C1","Number of Trips by Irish Residents","2023Q3","2023Q3","02","Outbound","01","Holiday","Thousand","2504"
"HTQ01C1","Number of Trips by Irish Residents","2023Q3","2023Q3","02","Outbound","02","Business","Thousand","203"
"HTQ01C1","Number of Trips by Irish Residents","2023Q3","2023Q3","02","Outbound","03","Visiting friends/relatives","Thousand","1093"
"HTQ01C1","Number of Trips by Irish Residents","2023Q3","2023Q3","02","Outbound","08","Other reasons","Thousand","150"
"HTQ01C2","Number of Nights by Irish Residents","2000Q1","2000Q1","01","Domestic","-","All reasons for journey","Thousand","3578"
"HTQ01C2","Number of Nights by Irish Residents","2000Q1","2000Q1","01","Domestic","01","Holiday","Thousand","1279"
"HTQ01C2","Number of Nights by Irish Residents","2000Q1","2000Q1","01","Domestic","02","Business","Thousand","517"
"HTQ01C2","Number of Nights by Irish Residents","2000Q1","2000Q1","01","Domestic","03","Visiting friends/relatives","Thousand","1261"
"HTQ01C2","Number of Nights by Irish Residents","2000Q1","2000Q1","01","Domestic","08","Other reasons","Thousand","521"
"HTQ01C2","Number of Nights by Irish Residents","2000Q1","2000Q1","02","Outbound","-","All reasons for journey","Thousand","5518"
"HTQ01C2","Number of Nights by Irish Residents","2000Q1","2000Q1","02","Outbound","01","Holiday","Thousand","2849"
"HTQ01C2","Number of Nights by Irish Residents","2000Q1","2000Q1","02","Outbound","02","Business","Thousand","928"
"HTQ01C2","Number of Nights by Irish Residents","2000Q1","2000Q1","02","Outbound","03","Visiting friends/relatives","Thousand","1147"
"HTQ01C2","Number of Nights by Irish Residents","2000Q1","2000Q1","02","Outbound","08","Other reasons","Thousand","594"
"HTQ01C2","Number of Nights by Irish Residents","2000Q2","2000Q2","01","Domestic","-","All reasons for journey","Thousand","4340"
"HTQ01C2","Number of Nights by Irish Residents","2000Q2","2000Q2","01","Domestic","01","Holiday","Thousand","2201"
"HTQ01C2","Number of Nights by Irish Residents","2000Q2","2000Q2","01","Domestic","02","Business","Thousand","410"
"HTQ01C2","Number of Nights by Irish Residents","2000Q2","2000Q2","01","Domestic","03","Visiting friends/relatives","Thousand","1234"
"HTQ01C2","Number of Nights by Irish Residents","2000Q2","2000Q2","01","Domestic","08","Other reasons","Thousand","495"
"HTQ01C2","Number of Nights by Irish Residents","2000Q2","2000Q2","02","Outbound","-","All reasons for journey","Thousand","10537"
"HTQ01C2","Number of Nights by Irish Residents","2000Q2","2000Q2","02","Outbound","01","Holiday","Thousand","7249"
"HTQ01C2","Number of Nights by Irish Residents","2000Q2","2000Q2","02","Outbound","02","Business","Thousand","972"
"HTQ01C2","Number of Nights by Irish Residents","2000Q2","2000Q2","02","Outbound","03","Visiting friends/relatives","Thousand","1305"
"HTQ01C2","Number of Nights by Irish Residents","2000Q2","2000Q2","02","Outbound","08","Other reasons","Thousand","1012"
"HTQ01C2","Number of Nights by Irish Residents","2000Q3","2000Q3","01","Domestic","-","All reasons for journey","Thousand","8957"
"HTQ01C2","Number of Nights by Irish Residents","2000Q3","2000Q3","01","Domestic","01","Holiday","Thousand","6601"
"HTQ01C2","Number of Nights by Irish Residents","2000Q3","2000Q3","01","Domestic","02","Business","Thousand","343"
"HTQ01C2","Number of Nights by Irish Residents","2000Q3","2000Q3","01","Domestic","03","Visiting friends/relatives","Thousand","1545"
"HTQ01C2","Number of Nights by Irish Residents","2000Q3","2000Q3","01","Domestic","08","Other reasons","Thousand","469"
"HTQ01C2","Number of Nights by Irish Residents","2000Q3","2000Q3","02","Outbound","-","All reasons for journey","Thousand","13411"
"HTQ01C2","Number of Nights by Irish Residents","2000Q3","2000Q3","02","Outbound","01","Holiday","Thousand","10359"
"HTQ01C2","Number of Nights by Irish Residents","2000Q3","2000Q3","02","Outbound","02","Business","Thousand","1039"
"HTQ01C2","Number of Nights by Irish Residents","2000Q3","2000Q3","02","Outbound","03","Visiting friends/relatives","Thousand","1233"
"HTQ01C2","Number of Nights by Irish Residents","2000Q3","2000Q3","02","Outbound","08","Other reasons","Thousand","780"
"HTQ01C2","Number of Nights by Irish Residents","2000Q4","2000Q4","01","Domestic","-","All reasons for journey","Thousand","3828"
"HTQ01C2","Number of Nights by Irish Residents","2000Q4","2000Q4","01","Domestic","01","Holiday","Thousand","1384"
"HTQ01C2","Number of Nights by Irish Residents","2000Q4","2000Q4","01","Domestic","02","Business","Thousand","401"
"HTQ01C2","Number of Nights by Irish Residents","2000Q4","2000Q4","01","Domestic","03","Visiting friends/relatives","Thousand","1611"
"HTQ01C2","Number of Nights by Irish Residents","2000Q4","2000Q4","01","Domestic","08","Other reasons","Thousand","431"
"HTQ01C2","Number of Nights by Irish Residents","2000Q4","2000Q4","02","Outbound","-","All reasons for journey","Thousand","6078"
"HTQ01C2","Number of Nights by Irish Residents","2000Q4","2000Q4","02","Outbound","01","Holiday","Thousand","3426"
"HTQ01C2","Number of Nights by Irish Residents","2000Q4","2000Q4","02","Outbound","02","Business","Thousand","789"
"HTQ01C2","Number of Nights by Irish Residents","2000Q4","2000Q4","02","Outbound","03","Visiting friends/relatives","Thousand","1439"
"HTQ01C2","Number of Nights by Irish Residents","2000Q4","2000Q4","02","Outbound","08","Other reasons","Thousand","424"
"HTQ01C2","Number of Nights by Irish Residents","2001Q1","2001Q1","01","Domestic","-","All reasons for journey","Thousand","3341"
"HTQ01C2","Number of Nights by Irish Residents","2001Q1","2001Q1","01","Domestic","01","Holiday","Thousand","1331"
"HTQ01C2","Number of Nights by Irish Residents","2001Q1","2001Q1","01","Domestic","02","Business","Thousand","416"
"HTQ01C2","Number of Nights by Irish Residents","2001Q1","2001Q1","01","Domestic","03","Visiting friends/relatives","Thousand","1117"
"HTQ01C2","Number of Nights by Irish Residents","2001Q1","2001Q1","01","Domestic","08","Other reasons","Thousand","476"
"HTQ01C2","Number of Nights by Irish Residents","2001Q1","2001Q1","02","Outbound","-","All reasons for journey","Thousand","5523"
"HTQ01C2","Number of Nights by Irish Residents","2001Q1","2001Q1","02","Outbound","01","Holiday","Thousand","3113"
"HTQ01C2","Number of Nights by Irish Residents","2001Q1","2001Q1","02","Outbound","02","Business","Thousand","899"
"HTQ01C2","Number of Nights by Irish Residents","2001Q1","2001Q1","02","Outbound","03","Visiting friends/relatives","Thousand","1013"
"HTQ01C2","Number of Nights by Irish Residents","2001Q1","2001Q1","02","Outbound","08","Other reasons","Thousand","498"
"HTQ01C2","Number of Nights by Irish Residents","2001Q2","2001Q2","01","Domestic","-","All reasons for journey","Thousand","4663"
"HTQ01C2","Number of Nights by Irish Residents","2001Q2","2001Q2","01","Domestic","01","Holiday","Thousand","2596"
