"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02599V03153","Reason for Journey","C02196V04140","Region Visited","UNIT","VALUE"
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","08","Other reasons","IE053","South-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","08","Other reasons","IE06","Eastern and Midland","Thousand","131"
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","08","Other reasons","IE061","Dublin","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","08","Other reasons","IE062","Mid-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","08","Other reasons","IE063","Midland","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","-","All reasons for journey","-","State","Thousand","2553"
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","-","All reasons for journey","IE04","Northern and Western","Thousand","642"
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","-","All reasons for journey","IE041","Border","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","-","All reasons for journey","IE042","West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","-","All reasons for journey","IE05","Southern","Thousand","1156"
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","-","All reasons for journey","IE051","Mid-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","-","All reasons for journey","IE052","South-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","-","All reasons for journey","IE053","South-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","-","All reasons for journey","IE06","Eastern and Midland","Thousand","755"
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","-","All reasons for journey","IE061","Dublin","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","-","All reasons for journey","IE062","Mid-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","-","All reasons for journey","IE063","Midland","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","01","Holiday","-","State","Thousand","1277"
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","01","Holiday","IE04","Northern and Western","Thousand","301"
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","01","Holiday","IE041","Border","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","01","Holiday","IE042","West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","01","Holiday","IE05","Southern","Thousand","701"
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","01","Holiday","IE051","Mid-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","01","Holiday","IE052","South-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","01","Holiday","IE053","South-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","01","Holiday","IE06","Eastern and Midland","Thousand","275"
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","01","Holiday","IE061","Dublin","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","01","Holiday","IE062","Mid-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","01","Holiday","IE063","Midland","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","02","Business","-","State","Thousand","114"
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","02","Business","IE04","Northern and Western","Thousand","19"
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","02","Business","IE041","Border","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","02","Business","IE042","West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","02","Business","IE05","Southern","Thousand","33"
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","02","Business","IE051","Mid-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","02","Business","IE052","South-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","02","Business","IE053","South-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","02","Business","IE06","Eastern and Midland","Thousand","62"
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","02","Business","IE061","Dublin","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","02","Business","IE062","Mid-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","02","Business","IE063","Midland","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","03","Visiting friends/relatives","-","State","Thousand","786"
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","03","Visiting friends/relatives","IE04","Northern and Western","Thousand","237"
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","03","Visiting friends/relatives","IE041","Border","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","03","Visiting friends/relatives","IE042","West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","03","Visiting friends/relatives","IE05","Southern","Thousand","309"
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","03","Visiting friends/relatives","IE051","Mid-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","03","Visiting friends/relatives","IE052","South-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","03","Visiting friends/relatives","IE053","South-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","03","Visiting friends/relatives","IE06","Eastern and Midland","Thousand","241"
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","03","Visiting friends/relatives","IE061","Dublin","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","03","Visiting friends/relatives","IE062","Mid-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","03","Visiting friends/relatives","IE063","Midland","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","08","Other reasons","-","State","Thousand","375"
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","08","Other reasons","IE04","Northern and Western","Thousand","85"
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","08","Other reasons","IE041","Border","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","08","Other reasons","IE042","West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","08","Other reasons","IE05","Southern","Thousand","113"
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","08","Other reasons","IE051","Mid-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","08","Other reasons","IE052","South-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","08","Other reasons","IE053","South-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","08","Other reasons","IE06","Eastern and Midland","Thousand","177"
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","08","Other reasons","IE061","Dublin","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","08","Other reasons","IE062","Mid-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20182","2018Q2","08","Other reasons","IE063","Midland","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","-","All reasons for journey","-","State","Thousand","3807"
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","-","All reasons for journey","IE04","Northern and Western","Thousand","962"
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","-","All reasons for journey","IE041","Border","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","-","All reasons for journey","IE042","West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","-","All reasons for journey","IE05","Southern","Thousand","1917"
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","-","All reasons for journey","IE051","Mid-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","-","All reasons for journey","IE052","South-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","-","All reasons for journey","IE053","South-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","-","All reasons for journey","IE06","Eastern and Midland","Thousand","928"
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","-","All reasons for journey","IE061","Dublin","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","-","All reasons for journey","IE062","Mid-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","-","All reasons for journey","IE063","Midland","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","01","Holiday","-","State","Thousand","2162"
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","01","Holiday","IE04","Northern and Western","Thousand","529"
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","01","Holiday","IE041","Border","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","01","Holiday","IE042","West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","01","Holiday","IE05","Southern","Thousand","1186"
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","01","Holiday","IE051","Mid-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","01","Holiday","IE052","South-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","01","Holiday","IE053","South-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","01","Holiday","IE06","Eastern and Midland","Thousand","447"
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","01","Holiday","IE061","Dublin","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","01","Holiday","IE062","Mid-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","01","Holiday","IE063","Midland","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","02","Business","-","State","Thousand","88"
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","02","Business","IE04","Northern and Western","Thousand","20"
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","02","Business","IE041","Border","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","02","Business","IE042","West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","02","Business","IE05","Southern","Thousand","24"
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","02","Business","IE051","Mid-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","02","Business","IE052","South-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","02","Business","IE053","South-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","02","Business","IE06","Eastern and Midland","Thousand","44"
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","02","Business","IE061","Dublin","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","02","Business","IE062","Mid-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","02","Business","IE063","Midland","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","03","Visiting friends/relatives","-","State","Thousand","1136"
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","03","Visiting friends/relatives","IE04","Northern and Western","Thousand","322"
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","03","Visiting friends/relatives","IE041","Border","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","03","Visiting friends/relatives","IE042","West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","03","Visiting friends/relatives","IE05","Southern","Thousand","544"
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","03","Visiting friends/relatives","IE051","Mid-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","03","Visiting friends/relatives","IE052","South-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","03","Visiting friends/relatives","IE053","South-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","03","Visiting friends/relatives","IE06","Eastern and Midland","Thousand","270"
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","03","Visiting friends/relatives","IE061","Dublin","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","03","Visiting friends/relatives","IE062","Mid-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","03","Visiting friends/relatives","IE063","Midland","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","08","Other reasons","-","State","Thousand","421"
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","08","Other reasons","IE04","Northern and Western","Thousand","91"
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","08","Other reasons","IE041","Border","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","08","Other reasons","IE042","West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","08","Other reasons","IE05","Southern","Thousand","162"
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","08","Other reasons","IE051","Mid-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","08","Other reasons","IE052","South-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","08","Other reasons","IE053","South-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","08","Other reasons","IE06","Eastern and Midland","Thousand","167"
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","08","Other reasons","IE061","Dublin","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","08","Other reasons","IE062","Mid-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20183","2018Q3","08","Other reasons","IE063","Midland","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","-","All reasons for journey","-","State","Thousand","2441"
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","-","All reasons for journey","IE04","Northern and Western","Thousand","628"
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","-","All reasons for journey","IE041","Border","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","-","All reasons for journey","IE042","West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","-","All reasons for journey","IE05","Southern","Thousand","1063"
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","-","All reasons for journey","IE051","Mid-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","-","All reasons for journey","IE052","South-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","-","All reasons for journey","IE053","South-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","-","All reasons for journey","IE06","Eastern and Midland","Thousand","750"
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","-","All reasons for journey","IE061","Dublin","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","-","All reasons for journey","IE062","Mid-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","-","All reasons for journey","IE063","Midland","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","01","Holiday","-","State","Thousand","954"
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","01","Holiday","IE04","Northern and Western","Thousand","240"
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","01","Holiday","IE041","Border","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","01","Holiday","IE042","West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","01","Holiday","IE05","Southern","Thousand","448"
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","01","Holiday","IE051","Mid-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","01","Holiday","IE052","South-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","01","Holiday","IE053","South-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","01","Holiday","IE06","Eastern and Midland","Thousand","266"
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","01","Holiday","IE061","Dublin","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","01","Holiday","IE062","Mid-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","01","Holiday","IE063","Midland","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","02","Business","-","State","Thousand","127"
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","02","Business","IE04","Northern and Western","Thousand","10"
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","02","Business","IE041","Border","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","02","Business","IE042","West","Thousand",""
